主题,论文题名,作者年份,期刊,DOI/PMID,研究类型,与三篇本地论文对应关系,模型/对象,设备或软件,核心参数,主要指标,关键结论,复现价值,链接
"声场仿真/工具","k-Wave: MATLAB toolbox for the simulation and reconstruction of photoacoustic wave fields","Treeby & Cox 2010","Journal of Biomedical Optics","DOI: 10.1117/1.3360308; PMID: 20459236","数值方法/工具论文","支撑高鹏皓论文的 k-Wave 声场仿真路线","1D/2D/3D 均匀或非均匀介质","MATLAB k-Wave","k-space pseudospectral; PML; time reversal","声场传播、时间反转重建","提供 k-Wave 基础方程和工具箱能力","作为 fus-sim Python/k-Wave 复现的理论入口","https://doi.org/10.1117/1.3360308"
"声场仿真/非线性介质","Modeling nonlinear ultrasound propagation in heterogeneous media with power law absorption using a k-space pseudospectral method","Treeby et al. 2012","Journal of the Acoustical Society of America","DOI: 10.1121/1.4712021; PMID: 22712907","数值方法","支撑三篇论文中的 Westervelt/非线性传播建模","组织真实非均匀介质","k-space pseudospectral method","非线性、幂律吸收、异质介质","声压场、数值精度、计算效率","比常规 FDTD 可用更少网格点达到精度","用于后续加入非线性和组织吸收模型","https://pubmed.ncbi.nlm.nih.gov/22712907/"
"经颅声场/快速仿真","A rapid beam simulation framework for transcranial focused ultrasound","Leung et al. 2019","Scientific Reports","DOI: 10.1038/s41598-019-43775-6","仿真框架/临床治疗计划","对应高鹏皓的 CT 颅骨建模和声束快速评估","患者 CT/MRI、经颅 FUS 治疗计划","快速 beam simulation framework","CT skull, MR thermometry, transcranial beam prediction","焦点位置、声束形态、温升预测","快速声束仿真可服务治疗计划和参数扫描","适合借鉴为 fus-sim 快速预筛模块","https://www.nature.com/articles/s41598-019-43775-6"
"经颅相位校正","An open-source phase correction toolkit for transcranial focused ultrasound","Jin et al. 2020","BMC Biomedical Engineering","DOI: 10.1186/s42490-020-00043-3","开源工具/水槽验证","对应三篇论文中的时间反转、相位校正、阵元补偿","离体人颅骨、临床 1024 阵元 FUS 系统","Kranion; ExAblate; hydrophone scanning","650 kHz; 2D hydrophone scanning; ray-based correction","峰值负压、焦点偏移、计算时间","相位校正可提高焦点声压并减少偏移，单次计算约亚秒级","为 fus-sim 加入 CT/ray-based phase correction 提供参照","https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-020-00043-3"
"tFUS 神经调控","Transcranial focused ultrasound modulates the activity of primary somatosensory cortex in humans","Legon et al. 2014","Nature Neuroscience","DOI: 10.1038/nn.3620","人体神经调控实验","对应高鹏皓论文的 tFUS 神经调控背景","健康人 primary somatosensory cortex","tFUS + EEG/somatosensory task","低强度 tFUS; 人体感觉皮层靶向","感觉诱发电位、行为辨别、空间特异性","证明 tFUS 可调制人脑皮层活动","为调控场景选择安全低强度参数提供背景","https://www.nature.com/articles/nn.3620"
"tFUS 安全/癫痫","Safety of focused ultrasound neuromodulation in humans with temporal lobe epilepsy","Stern et al. 2021","Brain Stimulation","DOI: 10.1016/j.brs.2021.06.003; PMID: 34198105","人体安全性/癫痫术前实验","直接对应高鹏皓的颞叶癫痫应用背景","难治性颞叶癫痫术前患者","LIFUP; MRI/fMRI; EEG; 术后组织病理","术前单次 sonication; 多强度; 术后组织学","组织损伤、EEG/fMRI、神经心理","未见与 tFUS 相关组织损伤证据","为神经调控仿真的安全指标提供临床锚点","https://doi.org/10.1016/j.brs.2021.06.003"
"BBB/压力-通透性","The Size of Blood-Brain Barrier Opening Induced by Focused Ultrasound is Dictated by the Acoustic Pressure","Chen & Konofagou 2014","Journal of Cerebral Blood Flow & Metabolism","DOI: 10.1038/jcbfm.2014.71; PMID: 24780905","动物实验","对应潘婷论文中的 MI/压力与 BBB 开放程度","小鼠海马、Definity 微泡、荧光 dextran","1.5 MHz FUS; PCD; fluorescence imaging","0.31/0.51/0.84 MPa; 3-2000 kDa dextran","BBB 开放尺寸、空化信号、组织学","BBB 开放尺寸受声压控制，惯性空化关联大分子递送","为 BBB 参数阈值和 PCD 指标提供实验标尺","https://journals.sagepub.com/doi/10.1038/jcbfm.2014.71"
"BBB/微泡数值模型","Microbubbles and blood-brain barrier opening: a numerical study on acoustic emissions and wall stress predictions","Hosseinkhah et al. 2015","IEEE Transactions on Biomedical Engineering","DOI: 10.1109/TBME.2014.2385651; PMID: 25546853; PMCID: PMC4406873","数值仿真","对应潘婷论文的微泡动力学和声发射分析","微泡-血管壁模型","Numerical microbubble model","微泡半径、声压、频率、壁应力、声发射","谐波/次谐波、壁应力、空化风险","用数值模型连接声发射与血管壁机械作用","可补足 fus-sim 中微泡-血管尺度模型","https://pubmed.ncbi.nlm.nih.gov/25546853/"
"BBB/空化成像","Power cavitation-guided blood-brain barrier opening with focused ultrasound and microbubbles","Burgess et al. 2018","Physics in Medicine & Biology","DOI: 10.1088/1361-6560/aab05c; PMID: 29457587; PMCID: PMC5881390","动物实验/监测方法","对应潘婷论文的 PCD 与声发射监控","FUS + 微泡 BBB 开放模型","Power cavitation imaging; passive receive array","短脉冲 FUS; delay-and-sum; power cavitation images","空化图像、BBB 开放区域","功率空化成像可与 BBB 开放区域对应","为后续实现 PCD/空化定位提供方法参考","https://pubmed.ncbi.nlm.nih.gov/29457587/"
"BBB/非人灵长类反馈控制","Feedback control of microbubble cavitation for ultrasound-mediated blood-brain barrier disruption in non-human primates under magnetic resonance guidance","Kamimura et al. 2019","Journal of Cerebral Blood Flow & Metabolism","DOI: 10.1177/0271678X17753514","非人灵长类 MRgFUS 实验","对应潘婷论文的颅外 PCD 和临床转化","非人灵长类、7T MRI、微泡","MR-guided FUS; PCD feedback","500 kHz; 10 ms pulses; PRF 5 Hz; 2 min sonication","T1 增强、PCD 谱、出血/安全窗","PCD 相对谱反馈可跨动物/实验会话使用","为安全闭环控制和临床化参数提供高等级证据","https://journals.sagepub.com/doi/10.1177/0271678X17753514"
"溶栓/组织碎裂术","Noninvasive thrombolysis using pulsed ultrasound cavitation therapy - histotripsy","Maxwell et al. 2009","Ultrasound in Medicine & Biology","DOI: 10.1016/j.ultrasmedbio.2009.07.001; PMID: 19854563; PMCID: PMC2796469","体外血栓实验","对应孙天宇论文中的 -6/-8 MPa 溶栓阈值来源","体外血凝块/血栓模型","Histotripsy pulsed FUS; ultrasound imaging","短高强度脉冲; 空化云; 峰值负压阈值","血栓质量损失/再通、空化云、损伤","机械空化可非侵入性破碎血栓","为仿真目标声压阈值和实验验证设计提供依据","https://pubmed.ncbi.nlm.nih.gov/19854563/"
"溶栓/动物模型","Noninvasive treatment of deep venous thrombosis using pulsed ultrasound cavitation therapy (histotripsy) in a porcine model","Maxwell et al. 2011","Journal of Vascular and Interventional Radiology","DOI: 10.1016/j.jvir.2010.10.007; PMID: 21194969; PMCID: PMC3053086","猪体内 DVT 模型","对应孙天宇论文从仿真参数走向动物实验的验证路线","猪股静脉急性血栓","Histotripsy therapy; real-time ultrasound imaging","短高强度聚焦脉冲; 图像引导","血管再通、血流、血管壁损伤","体内模型证明 histotripsy 溶栓可行","为后续从声场仿真到体内验证提供实验路径","https://pubmed.ncbi.nlm.nih.gov/21194969/"
