tool_id,name,url,language,solver_backend,input_data,output_data,transducer_model,skull_modeling,thermal_modeling,validation,license,evidence_level,source_locator,what_to_learn,risk_or_limit,next_action
TUSX,Transcranial Ultrasound Simulation Toolbox,https://www.tusx.org/,MATLAB,k-Wave,structural MR or CT; binary skull volume; NIfTI coordinates,pressure distributions; cropped simulation volume,single-element disc or curved bowl via k-Wave makeBowl/focus,MR/CT skull processing and ROI crop,PML/grid setup noted; thermal not homepage focus,water tank validation reported in preprint,open-source; exact license/link needs GitHub confirmation,README/官网明确 + 预印本信息,TUSX homepage; ResearchGate/bioRxiv snippets,Learn simple NIfTI target/transducer interface and k-Wave pipeline organization,Need GitHub README/license full check,Find GitHub repo and extract exact input/output schema
PRESTUS,PREprocessing & Simulations for Transcranial Ultrasound Stimulation,https://github.com/Donders-Institute/PRESTUS,MATLAB,k-Wave,T1 MRI; SimNIBS charm; CT/pseudo-CT workflows,3D pressure/heating maps; subject/MNI outputs,virtual multi-element calibration; entry-target workflows,water/skin/multilayer skull/brain; continuous skull mapping,acoustic and heating simulations,tool/pipeline validation and Zenodo references,GPL-3.0,README明确,GitHub README,Best model for pipeline structure from preprocessing to reports,Heavy MATLAB/SimNIBS/k-Wave dependencies; research only,Use as primary code organization reference
BabelBrain,BabelBrain,https://github.com/ProteusMRIgHIFU/BabelBrain,Python GUI / mixed,BabelViscoFDTD,MRI/CT/ZTE/PETRA/density maps; planning models,acoustic field; thermal effects; NIfTI/reports,single/ring/dome/phased transducers; built-in profiles,image processing; air masks; tissue type support,grouped sonications and thermal modeling supported,BabelViscoFDTD experimentally validated and cross-validated,BSD-3-Clause,README明确,GitHub README,Learn mature GUI-level input/output and thermal protocol reporting,GPU and platform dependencies; complex stack,Use report fields and transducer profile concepts
BabelViscoFDTD,BabelViscoFDTD,via BabelBrain repository,C++/GPU,FDTD viscoelastic,prepared simulation domains,pressure/time fields,driven by BabelBrain,viscoelastic skull/brain domains,backend for acoustic/thermal workflows,validated per BabelBrain README,see upstream,README明确,BabelBrain README,Learn more realistic viscoelastic backend concept,High integration cost; not immediate priority,Keep as reference not implementation target
TFUScapes,A Skull-Adaptive Framework for AI-Based 3D tFUS Simulation,https://github.com/CAMMA-public/TFUScapes,Python,AI surrogate / dataset framework,sample/dataset inputs,AI-predicted 3D simulation outputs; visualization,paper/dataset dependent,skull-adaptive data framework,not focus of README,project/arXiv framework,CC-BY-NC-SA 4.0 dataset,README明确,GitHub README,Learn dataset structure and surrogate evaluation,Non-commercial share-alike; not physics solver baseline,Use later after physical model calibrated
SynCT_TcMRgFUS,Synthetic CT Skull Generation for TcMRgFUS,https://github.com/han-liu/SynCT_TcMRgFUS,Python / PyTorch,3D cGAN MRI-to-CT,T1-weighted MRI,synthetic CT,no transducer,no direct acoustic modeling,no,Journal of Medical Imaging paper; official implementation,MIT,README明确,GitHub README,Learn pseudo-CT route when CT unavailable,Not an acoustic solver; model/data requirements,Defer until CT-free workflow needed
petra-to-ct,PETRA-TO-CT,https://github.com/ucl-bug/petra-to-ct,MATLAB,pseudo-CT conversion,Siemens PETRA / ZTE MRI,pseudo-CT; SPM segmentations,no transducer,pseudo-CT skull generation,no,derived from limited paired data,MIT,README明确,GitHub README,Learn PETRA/ZTE to pCT limitations and mapping,PETRA mapping from 3 subjects; air mapping limitation,Reference for MRI-only planning limitations
Kranion,Kranion,https://github.com/jws2f/Kranion,Java GUI / GPU shader,ray tracing phase correction,CT/MRI registration; skull CT,phase correction file; ray visualization,1024-element ExAblate in validation,ray tracing through skull,no,cadaver skull hydrophone validation,MIT per paper,论文/README明确,BMC Jin 2020 + GitHub,Learn phase correction workflow and hydrophone validation,Not full pressure/thermal solver,Use after single-bowl/free-field calibration
PlanTUS,PlanTUS,https://github.com/mlueckel/PlanTUS,Python,heuristic geometry planning,T1/T2 MRI; SimNIBS charm mesh; target ROI,transducer placement transforms; .kps; .mat/.txt,user-specified aperture/focal depth/tilt limits,skin/skull surfaces and avoidance regions,no,tool note in Brain Stimulation 2025,MIT,README明确,GitHub README,Upgrade current entry/target scan with interpretable geometry metrics,Explicitly not acoustic simulation; needs validation,Adopt metrics: distance/tilt/skull-normal/avoidance
BRIC_TUS,BRIC TUS Simulation Tools,https://github.com/sitiny/BRIC_TUS_Simulation_Tools,MATLAB,k-Wave-style scripts,T1 MRI + pseudo-CT,pressure field,NeuroFUS PRO CTX-500-4 only,pseudo-CT skull,not reported,tested on 1 mm isotropic images,GPL-3.0,README明确,GitHub README,Reference for narrow device-specific script layout,Only CTX-500-4; Ubuntu tested,Low priority reference
RapidBeam,Rapid beam simulation framework,https://www.nature.com/articles/s41598-019-43775-6,research framework,rapid 3D / HAS-like,CT/MRI + MR thermometry,focal spot and temperature rise prediction,tcMRgFUS therapy array,patient-specific skull,temperature calibrated with MR thermometry,essential tremor MR thermometry validation,paper only,原文明确,Nature Scientific Reports,Learn rapid pre-screen and MR thermometry calibration,Ablation context not neuromodulation dose,Use as algorithmic reference
HAS,Hybrid Angular Spectrum phase correction,https://www.nature.com/articles/s41598-021-85535-5,method/paper,HAS,CT/skull model,phase correction; normalized intensity,ExAblate/tcFUS phased array,CT skull aberration,no,reported target intensity and positioning error,paper only,原文明确,Nature Scientific Reports,Fast phase correction reference,Need implementation; ablation system context,Defer until phase correction stage
