guidance_id,source_id,source_title,guidance_level,experiment_stage,what_it_guides,usable_parameters_or_methods,knowledge_supplement,how_to_apply_to_fus_sim,caveats,next_action
G01,Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,high,direct_baseline,单阵元CT/k-Wave声场仿真与热效应复现,"500 kHz; 1 MPa source pressure; 6% duty; PRF 300 Hz; 67 ms train; 2.5 s interval; aperture 25 mm; radius 30 mm; 42°C threshold","换能器定位、CT颅骨模型、热效应安全判断","作为第一个可复现实验baseline；先复现流程和指标，不强求数值完全一致","这些参数主要是该论文特例，不是领域共识；1 MPa定义需标成source pressure","生成gao2022_baseline参数profile并做自由场校准"
G02,Treeby2010_kWave,k-Wave toolbox,high,simulation_foundation,k-Wave声场仿真基本方法,"grid; PML; time-domain simulation; source/sensor; time reversal","为什么要设置网格、PML、时间步长和传感器输出","检查当前脚本是否报告grid/PML/CFL/source/sensor；作为方法引用","不是tFUS参数论文，不能提供频率/声压默认值","把PPW/PML/CFL写进case report"
G03,TUSX_PRESTUS,TUSX/PRESTUS工具路线,high,pipeline_design,影像到仿真的管线组织,"NIfTI坐标; target/entry; k-Wave pipeline; pressure/heating outputs","公开工具如何组织输入、换能器、输出和报告","对齐我们的目录结构和报告字段；建立标准case report","依赖MATLAB/SimNIBS/k-Wave；不能直接搬代码","整理fus-sim case report模板"
G04,PlanTUS,PlanTUS entry planning,high,entry_target_planning,入射点/目标点候选筛选,"distance; tilt; skull/skin normal; avoidance regions; transform export","如何把几何候选从盲扫变成可解释规划","升级scan_ct_entry_positions.py指标体系","PlanTUS不是声场仿真，筛选后必须跑声场验证","给entry candidates增加几何指标"
G05,Jin2020_Kranion,Kranion phase correction,medium,next_phase,相位校正与水槽验证,"ray-based phase correction; hydrophone scan; skull CT validation; 650 kHz example","颅骨相位畸变为什么需要校正","当前先学习其验证结构；后续做ray/time-reversal校正","不是完整热仿真工具；650 kHz是系统参数不是我们的默认","自由场校准后再设计相位校正模块"
G06,L04_ITRUSST_practical_guide,ITRUSST practical guide,high,protocol_reporting,实验参数报告规范,"sonication protocol; safety reporting; parameter definitions","如何规范报告frequency/pressure/intensity/duty/train","用它检查我们的汇报是否把参数定义写清楚","预印本/指南，不替代原始实验数据","把报告里的pressure和duty字段统一命名"
G07,L04b_ITRUSST_reporting,ITRUSST standardised reporting,high,reporting,标准化报告,"reporting checklist; acoustic output; targeting; safety","哪些实验信息必须写清楚","制作师姐汇报表和case report清单","不是具体实验参数来源","生成汇报用checklist"
G08,L04c_ITRUSST_safety,ITRUSST biophysical safety,high,safety,生物物理安全边界,"heating; mechanical effects; cavitation considerations","安全评估不仅看42°C，还看MI/机械效应/报告完整性","补充Pennes之外的安全说明","安全阈值要结合具体协议，不可笼统套用","在热安全报告中增加mechanical safety字段"
G09,Mueller2016,Wave propagation and heating from tFUS,medium,thermal_safety,神经调控参数下温升量级判断,"0.5 s exposure; skull/brain heating estimates; tissue sensitivity","为什么低强神经调控通常温升小但仍需建模","用于解释我们Pennes热模型的必要性和结果范围","具体模型/参数需全文复核","作为汇报中热安全背景文献"
G10,Legon2014,Human S1 tFUS classic experiment,medium,parameter_range,人类神经调控参数参照,"0.5 MHz; sub-MPa pressure context; EEG/behavior endpoints","经典人体实验如何证明调控效应","说明500 kHz在人体tFUS中有参照；不是只来自本地论文","压力定义需全文复核；实验终点不是仿真终点","在学习材料里解释free-field/in-situ差别"
G11,L03_parameters_effects,Parameters and effects in TUS,medium,parameter_understanding,参数如何影响效应,"frequency; pressure; PRF; duty; train duration conceptual mapping","帮助理解为什么不能只调一个参数","用于设计参数扫描优先级","预印本/综述性质，不能作为唯一证据","做参数扫描解释页"
G12,L20_precise_neuromodulation,Precise tFUS neuromodulation review,medium,focus_quality,焦域大小、旁瓣和效率,"focal size regulation; treatment efficiency; mechanisms","补充为什么我们关注effective peak distance和target-window peak","用于解释Visible Human弱聚焦问题","综述不能替代具体仿真验证","把焦点质量指标写入报告"
G13,L21_simulation_review,Transcranial ultrasound simulations review,high,simulation_assumptions,仿真假设和验证,"skull modeling assumptions; solver choices; validation needs","提醒哪些仿真假设会影响结论","用于给师姐说明quick run不是论文级复现","预印本，作为学习和方向参考","列出当前平台假设清单"
G14,L22_pseudoCT_T1,pseudo-CT from T1 for LIFU planning,medium,future_data_input,MRI-only/pseudo-CT路线,"T1-to-pseudoCT; skull estimation; planning without CT","补充为什么CT不是唯一入口，但CT更直接","作为未来没有CT时的扩展路线","当前平台已有CT，不应马上替换","列为后续方向"
G15,BabelBrain,BabelBrain modeling tool,high,tool_reference,成熟工具的输入/输出/热建模,"CT/MRI/ZTE/PETRA; transducer profiles; acoustic/thermal outputs","公开工具如何封装复杂仿真和报告","借鉴transducer profile和报告结构","依赖复杂，不适合作为当前直接迁移","抽取报告字段用于fus-sim"
G16,Leung2019_RapidBeam,Rapid beam simulation,medium,fast_screening,快速声束预筛与MR热测量验证,"CT/MRI; rapid beam prediction; MR thermometry comparison","补充quick screening与高精度验证之间的关系","解释我们需要快速筛选和后续复核两层","偏tcMRgFUS/消融，不混用强度","作为快速预筛方法参考"
G17,Pan2021_local,经颅聚焦超声联合微泡开放BBB数值仿真,low_future,BBB_future_module,未来BBB/微泡模块,"MI 0.3-0.7; microbubble density; PCD spectrum","补充BBB方向知识，帮助区分应用边界","暂不进入神经调控baseline；可作为综述扩展","不要把BBB参数混入当前神经调控实验","保留为未来模块"
G18,Sun2021_local,经颅聚焦超声治疗脑血栓数值仿真,low_future,thrombolysis_context,未来溶栓/Histotripsy方向,"-6/-8 MPa PNP; 0.8 MHz thrombolysis optimum","补充溶栓方向为什么关注高负压空化","仅作为综述边界和高强应用对比","不要把-6/-8 MPa当作低强调控目标","保留为应用边界说明"
