paper_id,title,year,application,parameter_name,value,unit_or_definition,parameter_context,evidence_level,source_locator,definition_status,relevance_to_platform,review_status,notes
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,neuromodulation_simulation,frequency,500,kHz,main acoustic simulation frequency,原文明确,本地PDF 第3章 3.2.2; literature_tFUS_review/01_seed_papers_summary.md,reported_as_frequency,baseline_candidate,usable_with_caution,种子论文主频; 不是领域唯一共识
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,neuromodulation_simulation,frequency_comparison,250,kHz,2D skull comparison frequency,原文明确,本地PDF 第3章二维模型结果,reported_as_frequency,parameter_sweep_reference,usable_with_caution,低频穿颅更强但反射/扩散更明显
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,neuromodulation_simulation,source_pressure,1,MPa,excitation/source pressure,原文明确,本地PDF 第3章 3.2.2,source_pressure_not_in_situ,must_recheck,needs_definition_alignment,必须区分 source pressure/free-field/in situ pressure
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,neuromodulation_simulation,duty_cycle,6,percent,pulse/protocol parameter used for acoustic/thermal setup,原文明确,本地PDF 第3章结果; 第4章热效应,definition_needs_protocol_clarity,thermal_seed_protocol,usable_as_seed_only,不要写成 tFUS 领域共识
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,neuromodulation_simulation,PRF,300,Hz,pulse repetition frequency,原文明确,项目任务总结.md; 本地论文摘要整理,reported_as_PRF,thermal_seed_protocol,usable_as_seed_only,作为高鹏皓协议复现项
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,neuromodulation_simulation,train_duration,67,ms,ultrasound on duration per train,原文明确,项目任务总结.md; literature_tFUS_review/01_seed_papers_summary.md,reported_as_train_duration,thermal_seed_protocol,usable_as_seed_only,适合 Pennes 协议回归测试
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,neuromodulation_simulation,train_interval,2.5,s,off interval between trains,原文明确,项目任务总结.md; literature_tFUS_review/01_seed_papers_summary.md,reported_as_interval,thermal_seed_protocol,usable_as_seed_only,需要区分 train interval 与 protocol average duty
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,neuromodulation_simulation,aperture,25,mm,single bowl transducer aperture diameter,原文明确,本地PDF 第3章 3.2.2,transducer_geometry,baseline_candidate,usable_with_caution,小型单阵元合理尺度
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,neuromodulation_simulation,curvature_radius,30,mm,single bowl transducer curvature radius / focus proxy,原文明确,本地PDF 第3章 3.2.2,transducer_geometry,baseline_candidate,usable_with_caution,与 aperture 25 mm 形成 F=1.67
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,neuromodulation_simulation,F_number,1.67,ratio,curvature radius divided by aperture,原文明确,本地PDF 第3章 3.2.2,geometry_ratio,baseline_candidate,usable_with_caution,后续自由场校准应验证焦域
