learning_id,title,year,type,level,theme,why_read,key_concepts,read_after,read_goal,source_link,doi_or_id,relation_to_fus_sim,do_not_use_for
L00,术语表与系统学习路线,2026,local_note,0_入门,基础导航,先建立词汇和学习地图,DICOM;PML;CFL;MI;PCD;FUS;tFUS,无,能看懂文献和代码报告里的常用缩写,literature_tFUS_review/05_术语表_零基础版.md; literature_tFUS_review/06_系统学习路线.md,local,学习入口,不要当作论文证据
L01,A panoramic review of transcranial focused ultrasound neuromodulation: from basic research to clinical applications,2025,review,1_总览,tFUS神经调控总览,最新开放综述; 适合建立全局图景,参数范围;机制;安全;临床应用,L00,知道tFUS神经调控从基础到临床有哪些问题,https://link.springer.com/article/10.1186/s12984-025-01753-2,10.1186/s12984-025-01753-2,参数范围 sanity check,不要替代具体原始实验参数
L02,Non-invasive transcranial ultrasound stimulation for neuromodulation,2022,review,1_总览,TUS神经调控总览,较系统讲非侵入经颅超声刺激,neuromodulation;TUS;protocol;human studies,L01,理解TUS作为非侵入脑刺激技术的定位,https://doi.org/10.1016/j.clinph.2021.12.010,10.1016/j.clinph.2021.12.010,综述背景,不要直接作为参数默认值
L03,The relationship between parameters and effects in transcranial ultrasonic stimulation,2024,review/preprint,2_参数理解,参数-效应关系,专门解释可调参数和生物效应的关系,frequency;pressure;PRF;duty;train;effect direction,L01,建立“参数怎么影响效应”的概念,https://arxiv.org/abs/2407.01232,arXiv:2407.01232,参数理解框架,预印本需谨慎
L04,A Practical Guide to Transcranial Ultrasonic Stimulation from the IFCN-endorsed ITRUSST Consortium,2024,guide/preprint,1_实践指南,实验实践与安全,面向实践者的TUS指南,ultrasound physics;sonication parameters;safety,L01,知道实验设计和报告该关注什么,https://arxiv.org/abs/2407.07646,arXiv:2407.07646,实验报告规范参考,预印本;具体数值需原文核验
L05,k-Wave: MATLAB toolbox for the simulation and reconstruction of photoacoustic wave fields,2010,method/tool,2_仿真基础,k-Wave基础,理解项目仿真工具的数值基础,k-space;pseudospectral;PML;grid;time reversal,L00,知道k-Wave在算什么,https://doi.org/10.1117/1.3360308,10.1117/1.3360308,仿真基础引用,不要当作tFUS参数来源
L06,Modeling nonlinear ultrasound propagation in heterogeneous media with power law absorption using a k-space pseudospectral method,2012,method,3_仿真进阶,非线性与异质介质,解释组织异质性和吸收建模,nonlinear propagation;power-law absorption;heterogeneous media,L05,理解为什么颅骨/组织参数会影响传播,https://pubmed.ncbi.nlm.nih.gov/22712907/,10.1121/1.4712021,未来非线性/吸收模块参考,不作为当前quick默认复杂化依据
L07,Transcranial focused ultrasound modulates the activity of primary somatosensory cortex in humans,2014,primary_human,2_经典实验,人类S1神经调控经典论文,人类tFUS里程碑实验,S1;EEG;behavior;500 kHz;human neuromodulation,L01,知道人类神经调控实验怎么证明有效,https://www.nature.com/articles/nn.3620,10.1038/nn.3620,人类参数范围参照,压力定义需全文确认
L08,Focused ultrasound modulates region-specific brain activity,2011,primary_animal,2_经典实验,动物脑区调控,早期动物FUS调控实验,regional modulation;rabbit;MRI guidance,L01,理解FUS可产生脑区特异调控,https://pubmed.ncbi.nlm.nih.gov/21354315/,10.1016/j.neuroimage.2011.02.058,背景学习,动物参数不能直接迁移到人
L09,Transcranial Pulsed Ultrasound Stimulates Intact Brain Circuits,2010,primary_animal,2_经典实验,早期神经调控,早期证明经颅脉冲超声可刺激脑环路,TPU;brain circuits;mouse;behavior,L01,了解领域早期证据,https://doi.org/10.1016/j.neuron.2010.05.008,10.1016/j.neuron.2010.05.008,历史脉络,不要直接复用动物小鼠参数
L10,Offline impact of transcranial focused ultrasound on cortical activation in primates,2019,primary_primate,3_转化桥梁,灵长类离线效应,展示TUS可在灵长类产生持续调制,offline effects;fMRI;primate;connectivity,L07,理解从短时刺激到离线效应的研究逻辑,https://elifesciences.org/articles/40541,10.7554/eLife.40541,转化研究背景,不要直接作为人类参数默认
L11,Manipulation of Subcortical and Deep Cortical Activity in the Primate Brain Using Transcranial Focused Ultrasound Stimulation,2019,primary_primate,3_转化桥梁,深部脑区调控,证明可影响深部皮层/皮层下活动,amygdala;ACC;subcortical targeting;primate,L10,理解tFUS深部靶向优势,https://pubmed.ncbi.nlm.nih.gov/30765166/,10.1016/j.neuron.2019.01.019,深部靶向背景,灵长类参数不能直接套人
L12,Computational exploration of wave propagation and heating from transcranial focused ultrasound for neuromodulation,2016,simulation,3_仿真安全,声传播与温升,学习为什么要做热安全仿真,skull heating;brain heating;model sensitivity,L05,理解声场仿真后为什么要算热,https://doi.org/10.1088/1741-2560/13/5/056002,10.1088/1741-2560/13/5/056002,热安全学习,摘要级数值需全文复核
L13,A rapid beam simulation framework for transcranial focused ultrasound,2019,simulation/tool,3_仿真工具,快速声束仿真,学习治疗计划式仿真怎么做,CT;MRI;MR thermometry;beam prediction,L05,理解快速仿真与实验/MR热测量对齐,https://www.nature.com/articles/s41598-019-43775-6,10.1038/s41598-019-43775-6,快速预筛路线,偏tcMRgFUS/热消融;别混强度
L14,An open-source phase correction toolkit for transcranial focused ultrasound,2020,tool,3_相位校正,Kranion相位校正,学习颅骨相位校正与水槽验证,ray tracing;phase correction;hydrophone;skull CT,L05,知道为什么单纯几何对准不够,https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-020-00043-3,10.1186/s42490-020-00043-3,相位校正参考,不是完整声热求解器
L15,Applications of focused ultrasound in the brain: from thermoablation to drug delivery,2021,review,2_脑部FUS全景,脑部FUS应用全景,把神经调控/消融/BBB放到同一大图里,thermoablation;BBB;drug delivery;MRgFUS,L01,知道不同FUS应用为什么不能混参数,https://www.nature.com/articles/s41582-020-00418-z,10.1038/s41582-020-00418-z,边界意识,不要把消融/BBB参数用于神经调控
L16,The Size of Blood-Brain Barrier Opening Induced by Focused Ultrasound is Dictated by the Acoustic Pressure,2014,primary_BBB,3_专题扩展,BBB开放,学习BBB方向的代表性实验,BBB;microbubble;pressure;dextran;PCD,L15,理解BBB为什么看MI/空化,https://doi.org/10.1038/jcbfm.2014.71,10.1038/jcbfm.2014.71,未来BBB模块背景,不要混入神经调控参数
L17,Noninvasive thrombolysis using pulsed ultrasound cavitation therapy - histotripsy,2009,primary_thrombolysis,3_专题扩展,溶栓/Histotripsy,理解溶栓为什么看高负压和空化云,histotripsy;thrombolysis;cavitation cloud;PNP,L15,知道溶栓与低强度调控完全不同,https://pubmed.ncbi.nlm.nih.gov/19854563/,10.1016/j.ultrasmedbio.2009.07.001,溶栓背景,不要把-6/-8MPa用于神经调控
L18,Safety of focused ultrasound neuromodulation in humans with temporal lobe epilepsy,2021,primary_human_safety,3_临床安全,颞叶癫痫安全性,与本地高鹏皓癫痫背景相关,temporal lobe epilepsy;safety;histology;EEG;fMRI,L07,理解临床安全性如何验证,https://doi.org/10.1016/j.brs.2021.06.003,10.1016/j.brs.2021.06.003,癫痫应用背景,不是仿真参数复现标准
L19,BabelBrain: An Open-Source Application for Prospective Modeling of Transcranial Focused Ultrasound for Neuromodulation Applications,2023,tool/preprint,3_工具学习,开源建模工具,学习成熟工具如何组织影像/换能器/输出,BabelBrain;BabelViscoFDTD;MRI;CT;thermal modeling,L13,知道公开工具如何做prospective modeling,https://arxiv.org/abs/2301.12727,arXiv:2301.12727,工具路线参考,预印本/工具依赖复杂
